 PDBe Fold v2.59. (src3) 14 Apr 2014 result file.

                   RESULT SUMMARY

   ##      Q-score      P-score     Z-score   RMSD    Nalgn Nsse Ngaps Seq-%     Nmd Nres-Q Nsse-Q Nres-T Nsse-T Query Target
    1           1       16.18       11.93     0.000    55    4    0           1    0     55      4     55      4    PDB 1knt:A  PDB 1knt:A
    2      0.9471       13.58        10.9     0.107    55    4    0           1    0     55      4     58      4    PDB 1knt:A  PDB 2knt:A
    3      0.9462       13.13       10.71     0.140    55    4    0           1    0     55      4     58      4    PDB 1knt:A  PDB 1kth:A
    4      0.9354       10.61       9.582     0.671    55    4    0      0.4909    0     55      4     56      4    PDB 1knt:A  PDB 5zj3:C
    5      0.9217       8.684       8.632     0.768    55    3    0      0.4182    0     55      4     56      4    PDB 1knt:A  PDB 1brc:I
    6      0.9184       10.41       9.489     0.790    55    4    0      0.4909    0     55      4     56      4    PDB 1knt:A  PDB 3uir:C
    7      0.9159       8.089       8.317     0.805    54    3    0      0.4074    0     55      4     54      3    PDB 1knt:A  PDB 3t62:E
    8      0.9144       10.23       9.402     0.817    55    4    0      0.4909    0     55      4     56      4    PDB 1knt:A  PDB 5zj3:A
    9      0.9123       10.73       9.642     0.830    55    4    0      0.4909    0     55      4     56      4    PDB 1knt:A  PDB 3d65:I
   10      0.9108       8.536       8.555     0.731    55    4    0      0.3818    0     55      4     57      4    PDB 1knt:A  PDB 5m4v:A
   11      0.9106       9.597       9.096     0.839    54    4    0      0.4074    0     55      4     54      4    PDB 1knt:A  PDB 5c67:E
   12      0.9036       10.57       9.563     0.667    55    4    0      0.4909    0     55      4     58      4    PDB 1knt:A  PDB 3byb:B
   13      0.9026       6.022       7.122     0.889    54    3    0      0.4074    0     55      4     54      3    PDB 1knt:A  PDB 3t62:D
   14      0.9026       9.322       8.958     0.889    54    4    0      0.4259    0     55      4     54      4    PDB 1knt:A  PDB 1ca0:D
   15      0.9019       10.69       9.622     0.895    55    4    0      0.3273    0     55      4     56      4    PDB 1knt:A  PDB 3ldj:A
   16      0.9005       9.928       9.258     0.903    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:D
   17      0.9002       9.865       9.227     0.905    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:C
   18      0.8999       7.578       8.037     0.799    53    3    0      0.4151    0     55      4     53      3    PDB 1knt:A  PDB 5c67:C
   19      0.8997       9.804       9.197     0.908    55    4    0         0.4    0     55      4     56      4    PDB 1knt:A  PDB 3ofw:A
   20      0.8987       9.928       9.258     0.914    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:A
   21      0.8968       9.959       9.273     0.925    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:E
   22      0.8944       8.491       8.531     0.940    55    4    0      0.3273    0     55      4     56      4    PDB 1knt:A  PDB 2ijo:I
   23      0.8941       9.457       9.026     0.844    55    4    0      0.4909    0     55      4     57      4    PDB 1knt:A  PDB 3uir:D
   24       0.894       9.804       9.197     0.942    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:B
   25       0.893       9.348       8.971     0.946    54    4    0      0.4259    0     55      4     54      4    PDB 1knt:A  PDB 1taw:B
   26       0.891       9.714       9.153     0.959    55    4    0      0.3818    0     55      4     56      4    PDB 1knt:A  PDB 1y62:F
   27      0.8885       7.913       8.222     0.972    54    3    0      0.4074    0     55      4     54      3    PDB 1knt:A  PDB 3t62:F
   28      0.8883       7.861       8.194     0.769    54    4    1      0.4259    0     55      4     56      4    PDB 1knt:A  PDB 1aap:B
   29      0.8856       9.322       8.958     0.989    54    4    0      0.4259    0     55      4     54      4    PDB 1knt:A  PDB 5nx1:C
   30      0.8849       7.578       8.037     0.785    52    3    0      0.4423    0     55      4     52      3    PDB 1knt:A  PDB 3l33:G
   31      0.8841       9.773       9.182     0.999    55    4    0      0.2545    0     55      4     56      4    PDB 1knt:A  PDB 3aud:B
